RADIOBASE,TRAFICO_T,FECHA
CA1456QK022,35.2,2024-07-24
CA0211QK005,31.65,2024-07-24
CA0009QK003,0,2024-07-24
CA1973QK023,68.75,2024-07-24
CA1886QK005,80.89,2024-07-24
CA2239QK023,47.01,2024-07-24
CA0125QK012,82.91,2024-07-24
CA0406QK002,12.05,2024-07-24
CA2392QK023,47.5,2024-07-24
CA0274QK025,16.16,2024-07-24
CA2263QK002,62.45,2024-07-24
CA0300QK042,42.36,2024-07-24
CA0202QK025,8.42,2024-07-24
CA0081QK026,5.74,2024-07-24
CA1878QK006,25.39,2024-07-24
CA1241QK026,34.97,2024-07-24
CA0206QK022,13.56,2024-07-24
CA2398QK043,128.17,2024-07-24
CA2269QK026,53.52,2024-07-24
CA1456QK026,8.95,2024-07-24
CA0056QK001,41.41,2024-07-24
CA0628QK021,65.23,2024-07-24
CA2400QK025,13.26,2024-07-24
CA0066QK006,40.2,2024-07-24
CA0928QK021,66.78,2024-07-24
CA0323QK042,14.09,2024-07-24
CA0376QK042,11.3,2024-07-24
CA2390QK021,18.48,2024-07-24
CA2403QK003,17.76,2024-07-24
CA0305QK043,23.18,2024-07-24
CA0052QK023,10.03,2024-07-24
CA2200QK022,22.51,2024-07-24
CA1939QK021,58.81,2024-07-24
CA2395QK001,43.49,2024-07-24
CA2211QK021,33.23,2024-07-24
CA1663QK042,55.25,2024-07-24
CA2397QK003,38.02,2024-07-24
CA0407QK041,1.35,2024-07-24
CA0335QK041,11.75,2024-07-24
CA2356QK041,3.73,2024-07-24
CA2360QK023,8.4,2024-07-24
CA0060QK003,22.31,2024-07-24
CA0209QK022,6.3,2024-07-24
CA0132QK003,62.71,2024-07-24
CA1455QK043,197.3,2024-07-24
CA0414QK001,3.74,2024-07-24
CA0350QK042,1.98,2024-07-24
CA1452QK004,95.99,2024-07-24
CA2362QK021,86.4,2024-07-24
271459QK021,58.11,2024-07-24
CA2396QK021,64.2,2024-07-24
CA1974QK003,4.04,2024-07-24
204898QK007,1.59,2024-07-24
CA0411QK003,9.37,2024-07-24
CA1958QK001,21.51,2024-07-24
CA2389QK005,217.04,2024-07-24
CA1454QK006,111.71,2024-07-24
CA0312QK022,20.69,2024-07-24
CA0425QK043,6.06,2024-07-24
CA0291QK025,14.14,2024-07-24
CA2387QK023,10.39,2024-07-24
CA0239QK004,15.34,2024-07-24
CA2042QK024,39.12,2024-07-24
CA0396QK006,15.31,2024-07-24
CA0066QK002,61.2,2024-07-24
CA0081QK001,24.42,2024-07-24
CA0202QK005,39.41,2024-07-24
CA0288QK006,63.7,2024-07-24
CA1937QK043,14.2,2024-07-24
CA3008QK005,45.37,2024-07-24
CA0003QK022,16.71,2024-07-24
CA0274QK006,97.81,2024-07-24
CA0238QK023,45.67,2024-07-24
CA1887QK004,46.23,2024-07-24
CA2416QK004,15.73,2024-07-24
CA2211QK025,23.52,2024-07-24
CA2394QK003,13.44,2024-07-24
CA0412QK026,6.37,2024-07-24
CA2262QK023,35.82,2024-07-24
CA0218QK004,126.71,2024-07-24
CA0164QK003,30.9,2024-07-24
CA0305QK002,30.1,2024-07-24
CA0346QK002,87.09,2024-07-24
CA0405QK001,3.51,2024-07-24
CA0414QK006,24.57,2024-07-24
CA0272QK025,2.59,2024-07-24
CA2323QK003,42.09,2024-07-24
CA1450QK022,12.48,2024-07-24
CA0056QK025,26.72,2024-07-24
CA2276QK024,84.33,2024-07-24
CA2364QK024,44.76,2024-07-24
CA2042QK002,46.43,2024-07-24
CA2364QK003,32.01,2024-07-24
CA0060QK012,77.53,2024-07-24
CA2244QK002,22.28,2024-07-24
CA0072QK002,9.36,2024-07-24
CA0201QK003,30.45,2024-07-24
CA0002QK023,9.39,2024-07-24
CA1937QK021,74.94,2024-07-24
CA0002QK043,9.25,2024-07-24
CA0273QK004,77.11,2024-07-24
CA0169QK002,4.55,2024-07-24
CA0238QK001,16.96,2024-07-24
CA1982QK005,17.3,2024-07-24
231602QK021,93.56,2024-07-24
CA2403QK005,21.39,2024-07-24
CA2393QK001,92.56,2024-07-24
CA0352QK043,3.58,2024-07-24
CA2390QK001,11.42,2024-07-24
CA2265QK041,3.28,2024-07-24
CA2247QK024,18.81,2024-07-24
CA0298QK024,44.44,2024-07-24
CA0410QK002,1.33,2024-07-24
CA0300QK001,14.7,2024-07-24
CA1942QK001,9.35,2024-07-24
CA0239QK026,8.12,2024-07-24
CA0398QK021,19.37,2024-07-24
CA3776QK001,23.14,2024-07-24
CA0402QK005,30.92,2024-07-24
CA1887QK026,8.33,2024-07-24
CA0272QK003,12.32,2024-07-24
CA2230QK024,41.98,2024-07-24
CA0413QK022,10.35,2024-07-24
CA0056QK003,16.74,2024-07-24
CA0417QK043,19.41,2024-07-24
CA2270QK042,5.41,2024-07-24
CA2360QK024,39.54,2024-07-24
CA0414QK025,4.76,2024-07-24
CA0306QK001,17.81,2024-07-24
CA0070QK003,53.22,2024-07-24
CA0928QK024,59.03,2024-07-24
CA0399QK002,27.98,2024-07-24
CA0335QK002,34.22,2024-07-24
CA0385QK002,58.55,2024-07-24
CA2360QK025,20.63,2024-07-24
CA2390QK024,16.09,2024-07-24
CA0034QK001,52.9,2024-07-24
CA0052QK026,10.08,2024-07-24
CA2200QK025,18.29,2024-07-24
CA2395QK004,57.07,2024-07-24
CA2211QK024,33.51,2024-07-24
CA1664QK002,15.42,2024-07-24
CA1887QK043,10.72,2024-07-24
CA2462QK004,50.06,2024-07-24
CA2397QK023,73.28,2024-07-24
CA1450QK002,8.24,2024-07-24
CA0336QK001,1.04,2024-07-24
CA0132QK006,79.04,2024-07-24
CA1456QK003,21.81,2024-07-24
CA0252QK012,28.8,2024-07-24
CA0209QK026,9.99,2024-07-24
CA0003QK024,32.44,2024-07-24
CA1973QK001,69.77,2024-07-24
CA1878QK026,8.91,2024-07-24
CA2239QK001,20.44,2024-07-24
CA0125QK003,5.31,2024-07-24
CA0405QK023,16.33,2024-07-24
CA2389QK002,41.33,2024-07-24
CA2392QK004,35.81,2024-07-24
CA0340QK043,2.3,2024-07-24
CA0081QK021,14.66,2024-07-24
CA1878QK001,43.4,2024-07-24
CA1241QK021,89.4,2024-07-24
CA0206QK003,10.59,2024-07-24
CA2398QK024,126.67,2024-07-24
CA0323QK002,8.9,2024-07-24
CA3777QK022,59.81,2024-07-24
CA0054QK025,4.86,2024-07-24
CA0281QK004,54.82,2024-07-24
CA1455QK024,286.29,2024-07-24
CA0387QK003,20.29,2024-07-24
CA0728QK025,8.8,2024-07-24
CA2264QK024,24.55,2024-07-24
CA0303QK024,5.34,2024-07-24
CA0412QK023,6.07,2024-07-24
CA2362QK002,3.28,2024-07-24
CA0323QK023,6.96,2024-07-24
CA0375QK043,6.32,2024-07-24
CA1953QK021,20.27,2024-07-24
CA0305QK024,7.81,2024-07-24
CA0052QK004,33.87,2024-07-24
CA2042QK026,28.39,2024-07-24
CA0409QK041,3.73,2024-07-24
CA1938QK025,35.77,2024-07-24
CA2394QK022,9.53,2024-07-24
CA2204QK025,49.42,2024-07-24
CA2247QK003,34.11,2024-07-24
CA2357QK043,42.66,2024-07-24
CA1663QK025,6.79,2024-07-24
CA0406QK025,9.34,2024-07-24
CA0046QK022,24.25,2024-07-24
CA0045QK001,2.84,2024-07-24
CA0728QK023,83.3,2024-07-24
CA2356QK022,51.53,2024-07-24
CA0058QK024,11.24,2024-07-24
CA0399QK024,15.37,2024-07-24
CA0209QK003,7.88,2024-07-24
CA2391QK003,58.3,2024-07-24
CA0034QK021,36.86,2024-07-24
CA0252QK004,15.59,2024-07-24
CA1664QK041,6.97,2024-07-24
CA1916QK022,8.42,2024-07-24
CA2462QK026,47,2024-07-24
CA2398QK022,62.59,2024-07-24
CA2388QK003,67.99,2024-07-24
CA2391QK025,65.32,2024-07-24
CA0289QK025,4.95,2024-07-24
CA0628QK002,33.88,2024-07-24
CA0389QK003,16.42,2024-07-24
CA0319QK006,111.6,2024-07-24
CA3776QK024,47.28,2024-07-24
CA1456QK025,31.89,2024-07-24
CA0211QK022,13.5,2024-07-24
CA0009QK006,0,2024-07-24
CA1973QK026,58.99,2024-07-24
CA1886QK022,36.65,2024-07-24
CA2239QK026,40.45,2024-07-24
CA2392QK026,42.91,2024-07-24
CA0275QK002,65.21,2024-07-24
CA1455QK002,101.94,2024-07-24
CA2264QK002,20.55,2024-07-24
CA0303QK002,18.65,2024-07-24
CA0203QK002,34.41,2024-07-24
CA1878QK023,8.24,2024-07-24
CA0412QK001,20.55,2024-07-24
CA2399QK003,18.11,2024-07-24
CA1947QK025,124.03,2024-07-24
CA2269QK043,48.23,2024-07-24
CA2244QK024,89.01,2024-07-24
CA2357QK001,42.47,2024-07-24
CA1456QK043,1.83,2024-07-24
CA0045QK006,6.03,2024-07-24
CA0034QK025,43.25,2024-07-24
CA0628QK024,56.84,2024-07-24
CA2401QK002,19.83,2024-07-24
CA2402QK041,4.58,2024-07-24
CA1399QK003,11.5,2024-07-24
CA0410QK003,7.08,2024-07-24
CA0200QK001,27.63,2024-07-24
CA0303QK026,14.78,2024-07-24
CA0398QK024,13.96,2024-07-24
CA3776QK023,78.44,2024-07-24
CA0402QK022,7.27,2024-07-24
CA0272QK006,18.69,2024-07-24
CA2230QK041,6.21,2024-07-24
CA0413QK025,4.96,2024-07-24
CA2276QK041,3.71,2024-07-24
CA2360QK026,8.43,2024-07-24
CA0056QK006,70.63,2024-07-24
CA2401QK042,22.38,2024-07-24
CA0421QK003,28.21,2024-07-24
CA2276QK002,26.5,2024-07-24
CA2362QK024,86.55,2024-07-24
CA2241QK023,42.42,2024-07-24
CA0002QK001,19.71,2024-07-24
CA0300QK023,34.26,2024-07-24
CA2396QK024,58.84,2024-07-24
CA1974QK006,3.2,2024-07-24
204898QK012,0.81,2024-07-24
CA0411QK006,28.05,2024-07-24
CA1958QK021,16.94,2024-07-24
CA2389QK022,72.08,2024-07-24
CA2264QK025,45.78,2024-07-24
CA1454QK023,27.3,2024-07-24
CA0312QK025,8.76,2024-07-24
CA0298QK002,35,2024-07-24
CA2387QK026,8.26,2024-07-24
CA1939QK022,34,2024-07-24
CA0239QK021,23.97,2024-07-24
CA0396QK023,5.38,2024-07-24
CA1312QK004,73.47,2024-07-24
CA0289QK003,54.64,2024-07-24
CA0398QK002,22.72,2024-07-24
CA3008QK022,21.91,2024-07-24
CA0274QK023,37.17,2024-07-24
CA0238QK026,38.59,2024-07-24
CA1887QK021,4.81,2024-07-24
CA2462QK001,18.15,2024-07-24
CA2230QK002,83.71,2024-07-24
CA2394QK006,31.63,2024-07-24
CA0413QK003,3.88,2024-07-24
CA2262QK026,33.22,2024-07-24
CA0218QK041,17.86,2024-07-24
CA0164QK043,6.73,2024-07-24
CA0417QK001,7.99,2024-07-24
CA2360QK001,41.25,2024-07-24
CA0305QK005,18.48,2024-07-24
CA0352QK041,11.49,2024-07-24
CA0273QK002,19.28,2024-07-24
CA2323QK006,72.63,2024-07-24
CA1450QK025,11.39,2024-07-24
CA0058QK002,24.87,2024-07-24
CA2395QK042,47.01,2024-07-24
CA1953QK025,9.91,2024-07-24
CA1454QK001,27.21,2024-07-24
CA0312QK003,16.21,2024-07-24
CA0425QK001,29.73,2024-07-24
CA2387QK001,22.86,2024-07-24
CA2042QK005,118.31,2024-07-24
CA0396QK001,13.55,2024-07-24
CA0060QK023,66.99,2024-07-24
CA2244QK005,41.27,2024-07-24
CA0072QK022,16.47,2024-07-24
CA0201QK006,70.55,2024-07-24
CA0288QK001,14.94,2024-07-24
CA1937QK024,58.8,2024-07-24
CA0236QK041,15.89,2024-07-24
CA0003QK003,48.56,2024-07-24
CA0274QK001,32.03,2024-07-24
CA0238QK004,46.03,2024-07-24
CA2403QK042,3.62,2024-07-24
CA2393QK041,281.79,2024-07-24
CA0375QK003,16.6,2024-07-24
CA2390QK004,37.45,2024-07-24
CA2269QK001,20.11,2024-07-24
CA0306QK002,54.12,2024-07-24
CA2262QK001,68.12,2024-07-24
CA0300QK004,44.7,2024-07-24
CA1947QK001,47.87,2024-07-24
CA0350QK003,41.68,2024-07-24
CA0426QK003,10.85,2024-07-24
CA0211QK025,14.97,2024-07-24
CA0009QK023,94.36,2024-07-24
CA1886QK025,31.33,2024-07-24
CA0054QK003,15.36,2024-07-24
CA2241QK003,61.33,2024-07-24
CA0276QK002,22.78,2024-07-24
CA1455QK005,115.16,2024-07-24
CA0386QK001,19.66,2024-07-24
CA2264QK005,151.07,2024-07-24
CA0303QK005,25.7,2024-07-24
CA0203QK005,82.11,2024-07-24
CA0412QK004,23.41,2024-07-24
CA2400QK003,31.75,2024-07-24
CA1953QK002,6.12,2024-07-24
CA2270QK003,8.94,2024-07-24
CA1938QK003,2.79,2024-07-24
CA2244QK041,41.79,2024-07-24
CA2357QK004,66.92,2024-07-24
CA1663QK003,49.54,2024-07-24
CA0406QK006,21.12,2024-07-24
CA2360QK041,3.22,2024-07-24
CA0046QK003,17.6,2024-07-24
CA0043QK002,86.52,2024-07-24
CA0728QK001,103.35,2024-07-24
CA2401QK022,106.61,2024-07-24
CA2323QK026,11.77,2024-07-24
CA0070QK006,49.96,2024-07-24
CA0058QK005,61.09,2024-07-24
CA1182QK001,50.88,2024-07-24
CA0399QK005,35.35,2024-07-24
CA0206QK024,8.67,2024-07-24
CA0385QK042,27.93,2024-07-24
CA2390QK041,22.75,2024-07-24
CA0034QK004,114.19,2024-07-24
CA2204QK002,15.85,2024-07-24
CA0414QK004,3.43,2024-07-24
CA2395QK041,56.46,2024-07-24
CA1664QK022,6.54,2024-07-24
CA1916QK003,47.41,2024-07-24
CA2462QK021,28.39,2024-07-24
CA2397QK026,65.41,2024-07-24
CA2391QK006,237.6,2024-07-24
CA0336QK041,0.59,2024-07-24
CA0289QK006,31.93,2024-07-24
CA0134QK003,43.39,2024-07-24
CA1456QK006,87.99,2024-07-24
CA0211QK003,0.06,2024-07-24
CA0009QK001,51.03,2024-07-24
CA1973QK021,61.93,2024-07-24
CA1886QK003,65.22,2024-07-24
CA2239QK021,16.16,2024-07-24
CA0125QK006,4.5,2024-07-24
CA0405QK026,13.01,2024-07-24
CA2392QK021,50.14,2024-07-24
CA0202QK023,30.69,2024-07-24
CA0081QK024,12.74,2024-07-24
CA1878QK004,35.64,2024-07-24
CA1241QK024,87.72,2024-07-24
CA0206QK006,33.74,2024-07-24
CA2398QK041,9.65,2024-07-24
CA3777QK025,54.27,2024-07-24
CA2269QK024,37.96,2024-07-24
CA0054QK042,18.66,2024-07-24
CA1455QK041,20.11,2024-07-24
CA2400QK023,22,2024-07-24
CA0066QK004,82.96,2024-07-24
CA0928QK002,12.72,2024-07-24
CA2360QK002,1.81,2024-07-24
CA0323QK026,7.58,2024-07-24
CA0376QK003,35.85,2024-07-24
CA2403QK001,2.3,2024-07-24
CA0305QK041,1.07,2024-07-24
CA0052QK021,20.28,2024-07-24
CA2200QK003,30.67,2024-07-24
CA1939QK002,22.92,2024-07-24
CA2394QK025,10.59,2024-07-24
CA2211QK002,20.02,2024-07-24
CA0407QK002,11.29,2024-07-24
CA0046QK025,22.29,2024-07-24
CA0045QK004,2.04,2024-07-24
CA2356QK025,50.54,2024-07-24
CA0060QK001,32.41,2024-07-24
CA0402QK001,43.97,2024-07-24
CA0209QK006,45.87,2024-07-24
CA0132QK001,40.34,2024-07-24
CA0252QK007,4.64,2024-07-24
CA0410QK004,12.24,2024-07-24
CA0105QK001,42.85,2024-07-24
CA1916QK025,9.62,2024-07-24
CA3008QK003,28.04,2024-07-24
CA0405QK004,19.84,2024-07-24
CA2388QK023,61.26,2024-07-24
CA2391QK042,292.76,2024-07-24
CA0291QK002,43.7,2024-07-24
CA0340QK001,12.62,2024-07-24
CA0081QK004,39.17,2024-07-24
CA1182QK002,94.08,2024-07-24
CA0203QK024,13.77,2024-07-24
CA0413QK042,21.12,2024-07-24
CA0319QK023,37.27,2024-07-24
CA3776QK043,27.14,2024-07-24
CA0306QK003,28.83,2024-07-24
CA2402QK001,42.32,2024-07-24
CA0414QK023,5.7,2024-07-24
CA1974QK001,29.42,2024-07-24
204898QK005,0.69,2024-07-24
CA0411QK001,7.19,2024-07-24
CA1953QK042,22.47,2024-07-24
CA1454QK004,91.99,2024-07-24
CA0312QK006,47.56,2024-07-24
CA0425QK041,8.3,2024-07-24
CA0291QK023,16.08,2024-07-24
CA2387QK021,27.05,2024-07-24
CA0239QK002,8.66,2024-07-24
CA2042QK022,31.91,2024-07-24
CA0396QK004,38.03,2024-07-24
CA0060QK026,52.56,2024-07-24
CA0072QK025,9.21,2024-07-24
CA0202QK003,22.1,2024-07-24
CA0288QK004,15.4,2024-07-24
CA1937QK041,19.65,2024-07-24
CA0003QK006,132.9,2024-07-24
CA0274QK004,51.61,2024-07-24
CA0238QK021,13.85,2024-07-24
CA1887QK002,5.99,2024-07-24
CA2416QK002,6.77,2024-07-24
CA2394QK001,41.06,2024-07-24
CA2269QK021,40.13,2024-07-24
CA2262QK021,21.6,2024-07-24
CA1947QK021,80.38,2024-07-24
CA0218QK002,12.49,2024-07-24
CA0303QK043,5.22,2024-07-24
CA0399QK001,22.44,2024-07-24
CA2360QK042,17.71,2024-07-24
CA0402QK025,6.31,2024-07-24
CA0272QK023,8.05,2024-07-24
CA2323QK001,63.97,2024-07-24
CA1450QK006,7.51,2024-07-24
CA0056QK023,21.57,2024-07-24
CA0421QK043,10.3,2024-07-24
CA2276QK022,53.34,2024-07-24
CA1982QK043,0.42,2024-07-24
CA2364QK001,95.45,2024-07-24
CA0060QK006,34.59,2024-07-24
CA2241QK026,40.85,2024-07-24
CA0352QK002,22.31,2024-07-24
CA0070QK026,9.9,2024-07-24
CA0201QK001,25.64,2024-07-24
CA0002QK021,24.79,2024-07-24
CA1937QK002,104.52,2024-07-24
CA0002QK041,17.23,2024-07-24
CA2397QK001,110.45,2024-07-24
CA1982QK003,12.6,2024-07-24
231602QK001,21.88,2024-07-24
CA0411QK023,4.61,2024-07-24
CA1958QK024,18.16,2024-07-24
CA2389QK025,59.06,2024-07-24
CA2265QK002,21.62,2024-07-24
CA1454QK026,22.52,2024-07-24
CA0319QK002,36.69,2024-07-24
CA0298QK022,49.56,2024-07-24
CA0298QK025,39.27,2024-07-24
CA1939QK025,23.67,2024-07-24
CA0239QK024,23,2024-07-24
CA0396QK026,7.55,2024-07-24
CA0398QK005,43.55,2024-07-24
CA3008QK025,20.08,2024-07-24
CA0402QK003,27.15,2024-07-24
CA1887QK024,4.25,2024-07-24
CA2230QK022,33.74,2024-07-24
CA0413QK006,12.84,2024-07-24
